store_id,total_coke_units,distinct_coke_skus,total_rewards_units,distinct_rewards_skus,total_non_rewards_units,cohort
0cfce1a7-6c60-4a9a-b070-5536068865ac,61,8,0,0,61,coca-cola-only
0d17a7b2-7714-4a5c-8b32-5ea207d12c42,1,1,0,0,1,coca-cola-only
0d1f0b55-885a-4637-aa02-30be39b41a57,141,38,16,5,125,rewards-eligible
0d3cffa7-7a92-4b09-99e9-a3f931ebe39a,1,1,0,0,1,coca-cola-only
0d523abe-57ff-4907-a49c-42fae164d22d,239,9,0,0,239,coca-cola-only
0d6e7c95-0f73-48c6-acc9-55a8260349bb,6,3,0,0,6,coca-cola-only
0d745281-f840-4240-a200-505888cedac1,39,11,1,1,38,rewards-eligible
0dad4efa-8ddd-43c0-ae8f-9e214ecdc0bb,384,55,48,5,336,rewards-eligible
0db29117-412f-4a3e-9778-7118f83b6833,2,1,0,0,2,coca-cola-only
0dca69de-f5eb-456a-a972-50a9767c7feb,250,57,45,10,205,rewards-eligible
0dd269dc-6a2a-49f4-bb9e-0261b969308b,51,19,4,3,47,rewards-eligible
0dd2e075-e637-4b67-b587-a5ee3763588c,670,78,71,10,599,rewards-eligible
0ddae26a-b700-4065-ac52-2e5b2e7e106f,6,5,4,3,2,rewards-eligible
0ddc8ac7-a515-43ec-9b93-b3f0feaa6f43,32,25,5,4,27,rewards-eligible
0de05b54-f2a8-45d2-b111-6d070d987183,3,2,0,0,3,coca-cola-only
0deb5ab0-1959-4163-ac91-3a0510a34652,303,96,44,19,259,rewards-eligible
0df6cde8-92f8-437a-a443-2e23d49660b1,2,1,0,0,2,coca-cola-only
0e0ceba0-1549-4493-805e-b7eeec2660e9,87,22,3,3,84,rewards-eligible
0e10facd-5f11-4b49-b4e3-7b5a6ecad656,312,19,123,7,189,rewards-eligible
0e17de42-d87f-4542-aa4a-c58e93a6094f,111,30,5,4,106,rewards-eligible
0e2b2c40-878d-4d8e-9f00-6f4019186f57,75,37,2,2,73,rewards-eligible
0e4154d9-b640-41a4-bdcc-5b145b481ba5,73,12,14,2,59,rewards-eligible
0e5ab916-389c-47c6-8de4-d63cf2b510b8,5,3,0,0,5,coca-cola-only
0e5e51a2-6c9d-4053-8758-4626a15963ed,16,10,4,3,12,rewards-eligible
0eb8ea72-7f2f-4375-b0db-eafbe8c48713,15,7,0,0,15,coca-cola-only
0ec6dfb2-5f5a-4bc6-8f32-7af14c8f0410,93,20,9,4,84,rewards-eligible
0ed28497-710a-4e01-97ae-a2f0c3e5b075,179,36,12,5,167,rewards-eligible
0ed60760-192f-476d-99bb-332ed29699bd,11,8,0,0,11,coca-cola-only
0edfbd2a-72cf-4d8b-98c0-e7980ef114e5,9,4,4,1,5,rewards-eligible
0ee6fe98-dfa4-4945-9d19-3bbe6d93fa63,35,20,5,3,30,rewards-eligible
0ee9ca71-5527-4636-bbfb-4b3847c308a9,314,66,35,15,279,rewards-eligible
0f031434-7450-4b6c-a44d-bd8e2cd3d29b,269,72,38,14,231,rewards-eligible
0f051aeb-c2fd-48e7-bc8a-d403bf265cc2,60,8,0,0,60,coca-cola-only
0f156463-47a0-4bba-9735-e972291270f1,95,22,2,2,93,rewards-eligible
0f2362b5-1522-4fd4-b437-7fbdf35efde8,364,56,50,9,314,rewards-eligible
0f2a15c2-460f-44ab-bffe-7c8a06955d90,140,45,16,8,124,rewards-eligible
0f2f6aa5-4d50-4591-9638-ba10c459ce50,25,15,3,3,22,rewards-eligible
0f42c134-7080-4ae8-9e8e-794ecc28cade,41,28,12,9,29,rewards-eligible
0f51b5da-6abe-4020-8f0e-ccc92bac69b3,76,25,8,5,68,rewards-eligible
0f61700d-b83d-43f7-84a4-bad9bba3fad6,82,15,7,2,75,rewards-eligible
0f6656dc-6d5b-4197-8c41-4765e77c6699,142,35,48,10,94,rewards-eligible
0f692cfe-3147-45a2-8a86-2d546126de30,93,18,20,4,73,rewards-eligible
0f770d04-9b6c-4894-a7c1-42d7ebcbc33a,106,40,22,9,84,rewards-eligible
0f7b1ce5-076a-44e3-a385-e98d2a711650,4,4,0,0,4,coca-cola-only
0f8463c5-1b10-4907-90f9-b57b77890b5e,234,37,28,10,206,rewards-eligible
0f89f97e-5226-4eca-baad-4ae6f880227f,276,45,21,8,255,rewards-eligible
0fb9b9cc-5002-43ce-81b2-f960ccca9936,68,6,0,0,68,coca-cola-only
0fc096d4-e59b-4ad8-8c9b-b44c4ecf8825,17,4,0,0,17,coca-cola-only
0fc6d6d9-e78c-45ef-a925-19e35d286e82,41,36,9,8,32,rewards-eligible
